author,seed_short_titles,seed_titles_full,unjournal_evals,n_seed_dois_cited_by_author,n_citing_works_by_author
Carlos Riumalló‐Herl,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Carlos Torres,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Carly Molloy,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Caroline Delaire,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Caroline Theoharides,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Carolyn A. Berry,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Carson Ezell,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Carter Walter Bloch,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking,,1,1
Caspar Kaiser,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Catarina C. Jakovac,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Catherine H. Tinsley,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Catherine Thomas,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Cecilia Castaldo,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Cecilia Springer,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Celestina Heepen,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,,1,1
Celso Brunetti,Biodiversity Risk,Biodiversity Risk,,1,1
Cem Yavuz,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Chad M. Baum,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Chadwick Curtis,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Chaehee Shin,Biodiversity Risk,Biodiversity Risk,,1,1
Chan Seob Nam,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Chao Yin,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Chaolin Tian,Adaptability and the Pivot Penalty in Science,Adaptability and the Pivot Penalty in Science,,1,1
Charity Troyer Moore,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Charles A. Emogor,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Charles Efferson,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Charles Harper,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Charles T. Anderson,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Charlie A. Davidson,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Charlotte H. Chang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Charlotte Stix,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Charlotte Süring,Biodiversity Risk,Biodiversity Risk,,1,1
Chayce R. Baldwin,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Chen Ye,The Governance of Nonprofits and Their Social Impact,The Governance of Nonprofits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo,,1,1
Chen Zeming,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Chengyan Xu,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Chenyu Li,Biodiversity Risk,Biodiversity Risk,,1,1
Chie Hanaoka,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Chisangu Matome,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Chong Zhuo,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Chris R. Shepherd,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Chris Snyder,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Chrispus Mayora,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Christian J. Merz,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Christian Leuz,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Christian M. Dahl,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
Christian Pentzold,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Christian Schemer,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Christian Schmid,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Christina Gravert,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Christina Hartmann,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Christoph Feldhaus,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Christoph Nedopil,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Christoph Neuberger,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Christoph Winter,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Christopher Avery,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Christopher Dye,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Christopher Roth,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Christopher Yan-Chak Chan,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Christos Batsis,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Chuanjie Wang,Biodiversity Risk,Biodiversity Risk,,1,1
Chuanwang Sun,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Chuntian Lu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Chunzhi Li,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Cihan Uzmanoglu,Biodiversity Risk,Biodiversity Risk,,1,1
Claire Mackevicius,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Claudette Salinas,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Claudio Rizzi,Biodiversity Risk,Biodiversity Risk,,1,1
Clemens Breisinger,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Clevo Wilson,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Clíodhna Ní Ghuidhir,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Cole Hooley,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Colin Vance,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
Congming Ding,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Connie Susilawati,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Constantin Arnscheidt,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Constantin Grywatz,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Constantin W. Arnscheidt,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Constantina Skanavis,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Corinthias P. M. Sianipar,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Cornelia Niessen,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Cristian A. Cruz-Rodríguez,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Cristian Larroulet Philippi,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Cristina Cornelio,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Cuihong Long,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Cátia Batista,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
D Fetters Michael,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
